1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
9.999999776416265140e-01 9.999999883083153795e-01 9.999975155784377456e-01 9.999990203158463098e-01 9.999979700388413884e-01
9.999995753558631462e-01 9.999994240203856632e-01 9.999970716259147796e-01 9.999983256295564837e-01 9.999918881182148223e-01
9.999902353694817281e-01 9.999882088279500314e-01 9.999325992447317679e-01 9.999465436373485838e-01 9.999698435051843637e-01
9.999841169515782946e-01 9.999884457161132278e-01 9.998873906140522960e-01 9.995821611345365731e-01 9.999092117740581154e-01
9.999753407502657288e-01 9.999913650455718450e-01 9.997993195996229820e-01 9.998498735747461952e-01 9.999332089033866611e-01
9.998122089109617860e-01 9.999082504384894099e-01 9.980371712654283467e-01 9.985627720042959954e-01 9.995871811433383325e-01
9.995714078509908562e-01 9.994810502382238671e-01 9.874685630573643014e-01 9.939025825370992884e-01 9.989058809860922317e-01
9.991473402078905330e-01 9.987036706743888104e-01 9.952439082955785166e-01 9.961679968463259538e-01 9.980701504353575171e-01
9.978140345525645660e-01 9.987207836261906557e-01 9.739641579599920274e-01 9.900224966670526650e-01 9.946616211225377535e-01
9.982044210470560897e-01 9.986569995575729219e-01 9.617588088301836091e-01 9.687093920160819716e-01 9.912383268161187866e-01
9.982938423553457952e-01 9.973847277718481674e-01 9.156005428388147571e-01 9.520241069412908042e-01 9.895472530158272439e-01
9.981063115991855028e-01 9.961697323184779407e-01 9.138188029280861491e-01 9.596178337278769011e-01 9.880052432446349009e-01
9.965317296404638814e-01 9.960730166484809134e-01 8.808366754477148231e-01 9.296888602762221065e-01 9.832619633995840491e-01
9.964925549486233214e-01 9.951114856668327180e-01 8.688011248867588687e-01 8.633151353229121527e-01 9.756362018919897405e-01
9.965485919067438303e-01 9.930299049604631723e-01 8.040578928828887584e-01 8.773661852433687347e-01 9.670701024434248394e-01
9.953170711819997463e-01 9.926093223818888145e-01 8.132611039836924460e-01 8.929862222914789482e-01 9.623682932315724692e-01
9.935841912204134152e-01 9.896813152649361900e-01 7.448656343198267749e-01 8.685606411354105383e-01 9.497993010705432226e-01
9.899715925656146220e-01 9.890521955880048344e-01 5.471457735653849630e-01 8.405739289729610153e-01 9.406875303954380652e-01
9.872093949385110090e-01 9.881915262931160182e-01 4.530216417398426620e-01 8.292488851750001722e-01 9.309804984758581758e-01
9.831722049821416398e-01 9.847769859140115267e-01 4.110083101635612635e-01 8.098246209091848336e-01 9.222794470932162980e-01
